"point","date","mesure","detectionLimit","x","y"
"point475",2010-12-09,131,131,2503.462,6702.12799999956
"point006",2010-12-10,19,19,2494.07900000003,6819.44900000002
"point022",2010-12-10,0.5,0.5,1564.06199999998,6289.88900000043
"point345",2010-12-10,0.100000001490116,0.100000001490116,2485.11300000001,6764.7790000001
"point346",2010-12-10,0,0.100000001490116,2040.39199999999,6618.74299999978
"point371",2010-12-10,1.39999997615814,1.39999997615814,1837.22100000002,6359.81099999975
"point424",2010-12-10,43,43,2721.72700000001,6374.3339999998
"point432",2010-12-10,133,133,2075.337,6700.03699999955
"point430",2010-12-22,87,87,2502.34000000003,6712.1679999996
"point017",2010-12-22,57,57,1992.81099999999,6493.89900000021
"point024",2010-12-22,196,196,2316.18099999998,6887.66700000037
"point402",2010-12-22,328,328,2153.33600000001,6977.11799999978
"point022",2011-01-31,0.400000005960464,0.400000005960464,1564.06199999998,6289.88900000043
"point006",2011-01-31,20,20,2494.07900000003,6819.44900000002
"point424",2011-01-31,34,34,2721.72700000001,6374.3339999998
"point432",2011-01-31,137,137,2075.337,6700.03699999955
"point345",2011-01-31,0.200000002980232,0.200000002980232,2485.11300000001,6764.7790000001
"point346",2011-01-31,0,0.100000001490116,2040.39199999999,6618.74299999978
"point371",2011-01-31,15,15,1837.22100000002,6359.81099999975
"point283",2011-02-24,34,34,1939.70899999997,6410.50100000016
"point346",2011-02-24,0,0.100000001490116,2040.39199999999,6618.74299999978
"point355",2011-02-24,0,0.100000001490116,1868.21799999999,6214.45799999963
"point356",2011-02-24,0,0.100000001490116,1864.87800000003,6215.86199999973
"point375",2011-02-24,0,0.100000001490116,1717.66600000003,6493.03699999955
"point380",2011-02-24,110,110,2078.55699999997,6699.4040000001
"point402",2011-02-24,278,278,2153.33600000001,6977.11799999978
"point406",2011-02-24,7.80000019073486,7.80000019073486,1673.533,6504.83499999996
"point432",2011-02-24,167,167,2075.337,6700.03699999955
"point442",2011-02-24,9.69999980926514,9.69999980926514,1781.62599999999,6327.51400000043
"point447",2011-02-24,18,18,1860.93599999999,6217.20399999991
"point455",2011-02-24,52,52,1942.73700000002,6389.45399999991
"point464",2011-02-24,92,92,2130.77899999998,6470.40699999966
"point472",2011-02-24,89,89,2268.62099999998,6470.03000000026
"point743",2011-02-24,406,406,2031.788,6607.68099999987
"point103",2011-02-24,12,12,2451.24200000003,6027.91399999987
"point083",2011-02-24,4.69999980926514,4.69999980926514,2268.12199999997,5805.67800000031
"point372",2011-02-25,2.90000009536743,2.90000009536743,1990.03700000001,6454.39599999972
"point376",2011-02-25,19,19,1839.20500000002,6760.95199999958
"point021",2011-02-25,1.39999997615814,1.39999997615814,1289.36499999999,6796.8629999999
"point407",2011-02-25,1.10000002384186,1.10000002384186,1575.25699999998,6349.55300000031
"point449",2011-02-25,6.5,6.5,1817.58299999998,6087.03699999955
"point470",2011-02-25,260,260,2354.022,6546.92599999998
"point471",2011-02-28,363,363,2373.50900000002,6454.21300000045
"point349",2011-02-28,0,0.100000001490116,2631.728,6393.27099999972
"point350",2011-02-28,0,0.100000001490116,2637.77000000002,6396.32699999958
"point370",2011-02-28,0.800000011920929,0.800000011920929,1833.02500000002,6361.75700000022
"point371",2011-02-28,4.09999990463257,4.09999990463257,1837.22100000002,6359.81099999975
"point424",2011-02-28,33,33,2721.72700000001,6374.3339999998
"point431",2011-02-28,14,14,2294.49800000002,6633.55599999987
"point438",2011-02-28,39,39,2605.48700000002,6402.12899999972
"point476",2011-02-28,125,125,2694.23200000002,6359.54999999981
"point016",2011-03-01,14,14,2255.52000000002,7218.53600000031
"point373",2011-03-01,0.200000002980232,0.200000002980232,1915.23100000003,6387.11000000034
"point401",2011-03-01,2.59999990463257,2.59999990463257,2702.51699999999,6878.70000000019
"point439",2011-03-01,108,108,2507.429,6590.33000000007
"point475",2011-03-01,92,92,2503.462,6702.12799999956
"point495",2011-03-01,0,0.100000001490116,2444.83299999998,6693.47400000039
"point457",2011-03-01,0,0.100000001490116,1681.212,5622.21100000013
"point742",2011-03-02,29,29,2494.14799999999,6790.83499999996
"point090",2011-03-02,321,321,2413.00699999998,6344.31500000041
"point280",2011-03-02,312,312,2479.55099999998,6425.39099999983
"point020",2011-03-02,295,295,1672.228,7367.99100000039
"point038",2011-03-02,0.300000011920929,0.300000011920929,1791.14799999999,5786.95999999996
"point035",2011-03-09,33900,33900,2348.45000000001,6251.28199999966
"point465",2011-03-09,12700,12700,2378.01500000001,6184.68200000003
"point368",2011-03-14,19,19,2084.375,6481.80700000003
"point004",2011-05-17,1.10000002384186,1.10000002384186,2517.886,7071.12100000028
"point007",2011-05-17,0.300000011920929,0.300000011920929,1906.44400000002,9015.15600000042
"point011",2011-05-17,0,0.100000001490116,1890.01699999999,5313.62799999956
"point013",2011-05-17,0,0.100000001490116,3083.05699999997,5247.28600000031
"point015",2011-05-17,1.20000004768372,1.20000004768372,2324.39299999998,5600.49799999967
"point019",2011-05-17,0.200000002980232,0.200000002980232,3324.80099999998,7866.88200000022
"point297",2011-05-17,0.300000011920929,0.300000011920929,2949.35800000001,7170.20500000007
"point360",2011-05-17,0,0.100000001490116,2763.826,4861.41199999955
"point361",2011-05-17,0,0.100000001490116,3682.44799999997,6096.7620000001
"point362",2011-05-17,0,0.100000001490116,2303.97899999999,7162.43300000019
"point363",2011-05-17,225,225,1671.70000000001,7366.18200000003
"point364",2011-05-17,0,0.100000001490116,1327.12800000003,8786.62700000033
"point397",2011-05-17,21,21,2251.17999999999,6389.79700000025
"point451",2011-05-17,0.300000011920929,0.300000011920929,2684.45600000001,5666.40500000026
"point020",2011-05-18,241,241,1672.228,7367.99100000039
"point008",2011-05-18,0,0.100000001490116,1564.97499999998,5652.84999999963
"point017",2011-05-18,49,49,1992.81099999999,6493.89900000021
"point022",2011-05-18,1.10000002384186,1.10000002384186,1564.06199999998,6289.88900000043
"point298",2011-05-18,0.200000002980232,0.200000002980232,3430.56699999998,5930.2089999998
"point377",2011-05-18,2.09999990463257,2.09999990463257,2152.33100000001,6975.71399999969
"point402",2011-05-18,188,188,2153.33600000001,6977.11799999978
"point407",2011-05-18,0.699999988079071,0.699999988079071,1575.25699999998,6349.55300000031
"point410",2011-05-18,224,224,2395.39000000001,6602.63900000043
"point430",2011-05-18,8.30000019073486,8.30000019073486,2502.34000000003,6712.1679999996
"point470",2011-05-18,113,113,2354.022,6546.92599999998
"point484",2011-05-18,33,33,2562.69300000003,6736.80300000031
"point742",2011-05-18,55,55,2494.14799999999,6790.83499999996
"point002",2011-05-19,0,0.100000001490116,1602.848,5856.24399999995
"point051",2011-05-19,1.29999995231628,1.29999995231628,1699.30800000002,5996.96999999974
"point055",2011-05-19,0,0.100000001490116,1586.34399999998,6027.46600000001
"point056",2011-05-19,0.100000001490116,0.100000001490116,1360.55300000001,6496.26400000043
"point016",2011-05-19,8.89999961853027,8.89999961853027,2255.52000000002,7218.53600000031
"point346",2011-05-19,0,0.100000001490116,2040.39199999999,6618.74299999978
"point375",2011-05-19,0,0.100000001490116,1717.66600000003,6493.03699999955
"point381",2011-05-19,108,108,2000.38500000001,6842.10500000045
"point400",2011-05-19,0.800000011920929,0.800000011920929,2941.68599999999,6639.08600000013
"point431",2011-05-19,9,9,2294.49800000002,6633.55599999987
"point448",2011-05-19,0.5,0.5,1631.46999999997,6153.81599999964
"point454",2011-05-19,0.5,0.5,1667.14600000001,6011.36199999973
"point460",2011-05-19,0,0.100000001490116,2888.91899999999,5684.92599999998
"point743",2011-05-19,246,246,2031.788,6607.68099999987
"point277",2011-05-20,0.5,0.5,2942.69699999999,5882.62100000028
"point279",2011-05-20,3.40000009536743,3.40000009536743,2896.83399999997,6190.54800000042
"point401",2011-05-20,0.699999988079071,0.699999988079071,2702.51699999999,6878.70000000019
"point440",2011-05-20,0.699999988079071,0.699999988079071,2753.89500000002,5771.00800000038
"point437",2011-05-20,0.899999976158142,0.899999976158142,2911.19900000002,6345.375
"point416",2011-05-23,2.90000009536743,2.90000009536743,2530.44799999997,5847.64599999972
"point429",2011-05-23,4.30000019073486,4.30000019073486,2767.71299999999,6205.23099999968
"point446",2011-05-23,14,14,2053.12900000002,6141.54700000025
"point452",2011-05-23,6.5,6.5,1803.18699999998,6161.82799999975
"point459",2011-05-23,0,0.100000001490116,1750.67800000001,5682.31300000008
"point694",2011-05-23,259,259,2547.30800000002,6028.7089999998
"point741",2011-05-23,1250,1250,2579.386,6093.80700000003
"point073",2011-05-24,21,21,2434.31099999999,5702.31900000013
"point080",2011-05-24,18,18,2640.41200000001,5942.70799999963
"point081",2011-05-24,0.300000011920929,0.300000011920929,2513.65000000002,5920.64400000032
"point276",2011-05-24,249,249,2640.42099999997,6390.11899999995
"point325",2011-05-24,0,0.100000001490116,1818.23499999999,5624.53600000031
"point326",2011-05-24,0,0.100000001490116,1941.67599999998,5642.43900000025
"point329",2011-05-24,18,18,2160.74900000001,5954.87600000016
"point333",2011-05-24,14,14,2614.07500000001,6286.15000000037
"point334",2011-05-24,2.09999990463257,2.09999990463257,2698.39399999997,6137.17899999954
"point339",2011-05-24,0.800000011920929,0.800000011920929,2817.47700000001,5978.6660000002
"point340",2011-05-24,0,0.100000001490116,2065.65600000002,5651.32799999975
"point341",2011-05-24,0,0.100000001490116,2883.54499999998,5850.00100000016
"point353",2011-05-24,0,0.100000001490116,2353.54800000001,6145.43900000025
"point354",2011-05-24,2.29999995231628,2.29999995231628,2356.10399999999,6144.98099999968
"point378",2011-05-24,87,87,2188.56099999999,6492.65899999999
"point412",2011-05-24,8.89999961853027,8.89999961853027,2304.533,5681.82199999969
"point424",2011-05-24,33,33,2721.72700000001,6374.3339999998
"point428",2011-05-24,99,99,2366.88699999999,6448.50100000016
"point438",2011-05-24,100,100,2605.48700000002,6402.12899999972
"point458",2011-05-24,0.100000001490116,0.100000001490116,2022.337,5642.21899999958
"point476",2011-05-24,65,65,2694.23200000002,6359.54999999981
"point090",2011-05-25,223,223,2413.00699999998,6344.31500000041
"point094",2011-05-25,2.40000009536743,2.40000009536743,2800.75099999999,6115.96999999974
"point099",2011-05-25,82,82,2376.28899999999,6143.14499999955
"point100",2011-05-25,15,15,2394.37,6104.15899999999
"point101",2011-05-25,16,16,2385.88400000002,6073.60599999968
"point283",2011-05-25,46,46,1939.70899999997,6410.50100000016
"point281",2011-05-25,44,44,2282.63500000001,6472.19400000013
"point332",2011-05-25,30,30,2422.76899999997,6318.75499999989
"point368",2011-05-25,17,17,2084.375,6481.80700000003
"point370",2011-05-25,2.20000004768372,2.20000004768372,1833.02500000002,6361.75700000022
"point371",2011-05-25,26,26,1837.22100000002,6359.81099999975
"point399",2011-05-25,102,102,2195.516,6461.12600000016
"point441",2011-05-25,20,20,1870.61499999999,6357.72800000012
"point422",2011-05-25,14,14,2247.027,6096.62799999956
"point425",2011-05-25,37,37,2039.14199999999,6492.87100000028
"point461",2011-05-25,58,58,1987.56099999999,6450.89699999988
"point463",2011-05-25,60,60,2045.658,6491.63200000022
"point466",2011-05-25,25600,25600,2387.31599999999,6242.5290000001
"point472",2011-05-25,76,76,2268.62099999998,6470.03000000026
"point084",2011-05-26,19,19,2214.88299999997,6259.72800000012
"point085",2011-05-26,19,19,2236.73499999999,6254.97499999963
"point035",2011-05-26,3460,3460,2348.45000000001,6251.28199999966
"point373",2011-05-26,0.400000005960464,0.400000005960464,1915.23100000003,6387.11000000034
"point414",2011-05-26,70,70,2696.35200000001,6247.67100000009
"point435",2011-05-26,5.19999980926514,5.19999980926514,2728.90000000002,6319.84300000034
"point444",2011-05-26,1.5,1.5,1628.94,6234.04700000025
"point465",2011-05-26,5440,5440,2378.01500000001,6184.68200000003
