"points","date","value","x","y","valuePrec1","valuePrec2","neighbours1value","neighbours1valuePrec1","neighbours1valuePrec2","neighbours2value","neighbours2valuePrec1","neighbours2valuePrec2","neighbours3value","neighbours3valuePrec1","neighbours3valuePrec2"
"point421",2014-02-01,0,2464.848,6258.47599999979,0,0,NA,345.885804807802,354.57793318834,NA,345.498137587956,354.194066743575,NA,0,0
"point356",2014-02-01,0,1864.87800000003,6215.86199999973,0,0,NA,0,0,NA,293.58539017965,292.634013486981,NA,0,0
"point352",2014-02-01,0,2660.97700000001,5976.33299999963,0,0,NA,0,0,NA,76.0691123454965,46.3358029462094,NA,0,0
"point448",2014-02-01,0,1631.46999999997,6153.81599999964,74.0879420049482,45.1758802229305,NA,132.702322961452,105.088139981958,NA,0,0,NA,0,0
"point354",2014-02-01,0,2356.10399999999,6144.98099999968,0,0,NA,0,0,NA,444.401382589008,434.111659609888,NA,0,0
"point434",2014-02-01,0,2771.31699999998,6226.62399999984,0,0,NA,0,0,NA,544.240928508264,523.590009219209,NA,1055.13531117499,918.975928933813
"point438",2014-02-01,0,2605.48700000002,6402.12899999972,288.373472874971,186.438994133736,NA,674.09213703207,498.960518756738,NA,0,0,NA,0,0
"point345",2014-02-01,0,2485.11300000001,6764.7790000001,85.0359476580549,57.2235671403507,NA,85.00700163072,57.2028470689146,NA,0,0,NA,272.63215395436,400.258294338385
"point441",2014-02-01,0,1870.61499999999,6357.72800000012,0,0,NA,305.95705858664,287.744687997711,NA,113.503674532086,69.6377874507995,NA,0,0
"point443",2014-02-01,0,1667.63299999997,6305.26699999999,86.479692385502,55.6852407206108,NA,0,105.395982514868,NA,0,0,NA,0,0
"point401",2014-02-01,0,2702.51699999999,6878.70000000019,0,0,NA,0,0,NA,193.951457256102,400.222252587175,NA,18.0566563603229,161.330594033215
"point370",2014-02-01,0,1833.02500000002,6361.75700000022,113.503674532086,69.6377874507995,NA,305.95705858664,287.744687997711,NA,0,0,NA,0,0
"point368",2014-02-01,0,2084.375,6481.80700000003,0,0,NA,697.482196188134,664.646468984229,NA,542.178280488113,548.965027541595,NA,0,0
"point360",2014-02-01,0,2763.826,4861.41199999955,0,0,NA,131.425913566293,112.041164176728,NA,345.119147804023,271.355020489155,NA,397.573301803161,313.201332712434
"point464",2014-02-01,0,2130.77899999998,6470.40699999966,0,0,NA,0,0,NA,142.753827629217,88.9139039635531,NA,317.067625770804,308.896621473804
"point435",2014-02-01,0,2728.90000000002,6319.84300000034,0,0,NA,80.684673942973,44.5974950590276,NA,73.6901011004882,67.2543833877878,NA,1055.13531117499,918.975928933813
"point437",2014-02-01,0,2911.19900000002,6345.375,0,0,NA,550.673653049224,521.168659638994,NA,210.406377199047,211.352826150034,NA,0,0
"point400",2014-02-01,0,2941.68599999999,6639.08600000013,90.241218514433,61.2589413534404,NA,193.951457256102,400.222252587175,NA,0,0,NA,550.673653049224,521.168659638994
"point379",2014-02-01,0,2296.10399999999,6632.81699999981,0,32.6652327916673,NA,0,26.6193898538846,NA,168.989822627382,111.017092669212,NA,351.707328153756,308.366708917841
"point462",2014-02-01,0,2125.28100000002,6337.17599999998,0,0,NA,0,0,NA,229.56120588392,191.868913101598,NA,236.556830844925,197.748229533568
"point373",2014-02-01,0,1915.23100000003,6387.11000000034,0,0,NA,390.564640454636,345.616031989987,NA,401.12236339918,370.021361196313,NA,0,0
"point476",2014-02-01,0,2694.23200000002,6359.54999999981,80.684673942973,44.5974950590276,NA,73.6901011004882,67.2543833877878,NA,0,0,NA,0,0
"point380",2014-02-01,0,2078.55699999997,6699.4040000001,30.8689589768398,10.6158025825728,NA,81.3991226009349,96.9863507185529,NA,0,0,NA,0,0
"point378",2014-02-01,0,2188.56099999999,6492.65899999999,142.753827629217,88.9139039635531,NA,317.067625770804,308.896621473804,NA,0,0,NA,0,0
"point431",2014-02-01,0,2294.49800000002,6633.55599999987,0,26.6193898538846,NA,0,32.6652327916673,NA,168.989822627382,111.017092669212,NA,351.707328153756,308.366708917841
"point471",2014-02-01,0,2373.50900000002,6454.21300000045,0,0,NA,142.984904645704,87.9284030231402,NA,239.76607027487,144.408029480775,NA,0,0
"point381",2014-02-01,0,2000.38500000001,6842.10500000045,81.2272040913237,77.9728419526624,NA,81.3991226009349,96.9863507185529,NA,30.8689589768398,10.6158025825728,NA,0,189.521340097998
"point482",2014-02-01,0,1811.78600000002,6342.35099999979,0,0,NA,113.503674532086,69.6377874507995,NA,305.95705858664,287.744687997711,NA,0,0
"point383",2014-02-01,0,2176.91600000003,5903.06099999975,0,0,NA,0,0,NA,413.922142481553,396.314744759505,NA,128.202067250529,147.6223520872
"point275",2014-02-01,0,2691.98599999998,6067.36500000022,0,0,NA,5537.75752420311,4791.55751262764,NA,2169.05701919234,1752.27819958276,NA,0,0
"point310",2014-02-01,0,2705.61200000002,6157.80399999954,0,0,NA,5537.75752420311,4791.55751262764,NA,544.240928508264,523.590009219209,NA,1055.13531117499,918.975928933813
"point281",2014-02-01,0,2282.63500000001,6472.19400000013,0,0,NA,0,0,NA,239.76607027487,144.408029480775,NA,142.984904645704,87.9284030231402
"point287",2014-02-01,0,2420.28399999999,5905.68099999987,0,0,NA,0,0,NA,1314.81035741977,1048.20922391322,NA,231.097063074236,301.13631233057
"point282",2014-02-01,0,2154.25199999998,6386.59200000018,0,0,NA,0,0,NA,317.067625770804,308.896621473804,NA,0,0
"point319",2014-02-01,0,2290.33899999998,5691.19099999964,269.460661781389,208.462604717709,NA,307.629279291876,250.207478067324,NA,0,0,NA,0,0
"point324",2014-02-01,0,2610.95199999999,5724.42700000014,0,0,NA,193.566786776163,206.37877200776,NA,0,0,NA,817.159806786328,790.818214993419
"point326",2014-02-01,0,1941.67599999998,5642.43900000025,0,0,NA,0,0,NA,378.782690329417,365.123319198436,NA,0,0
"point333",2014-02-01,0,2614.07500000001,6286.15000000037,0,0,NA,0,721.947445413885,NA,1055.13531117499,918.975928933813,NA,0,0
"point336",2014-02-01,0,2493.49900000001,5768.04499999993,0,0,NA,292.263416694153,241.948935689449,NA,193.566786776163,206.37877200776,NA,1314.81035741977,1048.20922391322
"point278",2014-02-01,0,2930.57000000001,6049.53199999966,0,0,NA,0,0,NA,710.903519020032,533.599914156731,NA,210.406377199047,211.352826150034
